participant,Fixation Start,Fixation End,Fixation Duration,tabName_element,Timestamp,tabName,element,TaskId
2,2418212.217,2419095.441,883.224,model-g3.bpmn;next-button-area-in-questionID_9,2418832.957,model-g3.bpmn,next-button-area-in-questionID_9,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2419099.595,model-g3.bpmn,Process_1vj4efq,5.0
2,2419170.4355,2419312.0865,141.651,model-g3.bpmn;Activity_09ohgt5,2419174.617,model-g3.bpmn,Activity_09ohgt5,5.0
2,,,,model-g3.bpmn;Activity_09ohgt5,2419316.268,model-g3.bpmn,Activity_09ohgt5,5.0
2,2419353.7535,2419495.4015,141.648,model-g3.bpmn;title-for-questionID_9,2419357.902,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2419499.582,model-g3.bpmn,title-for-questionID_9,5.0
2,2419537.062,2419862.0265,324.9645,model-g3.bpmn;title-for-questionID_9,2419541.243,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2419866.178,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;nan,2419941.172,model-g3.bpmn,,5.0
2,2419953.6695,2420037.0025,83.333,model-g3.bpmn;title-for-questionID_9,2419957.835,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;nan,2420041.163,model-g3.bpmn,,5.0
2,2420070.3505,2420261.9885,191.638,model-g3.bpmn;title-for-questionID_9,2420074.517,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2420266.149,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2420307.797,model-g3.bpmn,title-for-questionID_9,5.0
2,2420320.3425,2420486.973,166.6305,model-g3.bpmn;title-for-questionID_9,2420324.471,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2420491.14,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2420541.109,model-g3.bpmn,title-for-questionID_9,5.0
2,2420545.29,2420670.282,124.992,model-g3.bpmn;title-for-questionID_9,2420549.471,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2420674.442,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;nan,2420699.442,model-g3.bpmn,,5.0
2,2420711.9375,2420936.918,224.9805,model-g3.bpmn;title-for-questionID_9,2420716.09,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2420941.066,model-g3.bpmn,title-for-questionID_9,5.0
2,2420961.8985,2421145.2355,183.337,model-g3.bpmn;title-for-questionID_9,2420966.062,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2421149.403,model-g3.bpmn,title-for-questionID_9,5.0
2,2421170.279,2421320.2495,149.9705,model-g3.bpmn;title-for-questionID_9,2421174.52,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2421324.454,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;answer_area_for_questionID_9,2421349.355,model-g3.bpmn,answer_area_for_questionID_9,5.0
2,,,,model-g3.bpmn;answer_area_for_questionID_9,2421374.383,model-g3.bpmn,answer_area_for_questionID_9,5.0
2,,,,model-g3.bpmn;nan,2421482.685,model-g3.bpmn,,5.0
2,2421495.192,2421570.2,75.008,model-g3.bpmn;title-for-questionID_9,2421499.341,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2421574.406,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;answer_area_for_questionID_9,2421674.322,model-g3.bpmn,answer_area_for_questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2421724.314,model-g3.bpmn,title-for-questionID_9,5.0
2,2421728.493,2422095.1355,366.6425,model-g3.bpmn;title-for-questionID_9,2421732.672,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2422099.304,model-g3.bpmn,title-for-questionID_9,5.0
2,2422111.7845,2422311.8035,200.019,model-g3.bpmn;title-for-questionID_9,2422115.965,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2422315.945,model-g3.bpmn,title-for-questionID_9,5.0
2,2422361.7695,2422553.391,191.6215,model-g3.bpmn;title-for-questionID_9,2422365.935,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2422557.555,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2422599.253,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2422649.242,model-g3.bpmn,title-for-questionID_9,5.0
2,2422678.3955,2422995.009,316.6135,model-g3.bpmn;title-for-questionID_9,2422682.542,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2422999.176,model-g3.bpmn,title-for-questionID_9,5.0
2,2423028.3575,2423220.014,191.6565,model-g3.bpmn;title-for-questionID_9,2423032.54,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2423224.181,model-g3.bpmn,title-for-questionID_9,5.0
2,2423269.979,2423561.652,291.673,model-g3.bpmn;title-for-questionID_9,2423274.147,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2423565.803,model-g3.bpmn,title-for-questionID_9,5.0
2,2423578.304,2423844.937,266.633,model-g3.bpmn;title-for-questionID_9,2423582.461,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;nan,2423849.098,model-g3.bpmn,,5.0
2,2423878.264,2424069.93,191.666,model-g3.bpmn;nan,2423882.445,model-g3.bpmn,,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2424074.086,model-g3.bpmn,title-for-questionID_9,5.0
