participant,Fixation Start,Fixation End,Fixation Duration,tabName_element,Timestamp,tabName,element,taskId
KP1-no,,,,F1_Offload_Container.bpmn;nan,5307494.855,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5307619.849,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5307686.524,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5307744.836,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,5307757.3255,5307874.0205,116.695,F1_Offload_Container.bpmn;Process_1jt1th5,5307761.489,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5307878.155,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,5307915.6625,5308040.672,125.0095,F1_Offload_Container.bpmn;Activity_15cee8u,5307928.165,F1_Offload_Container.bpmn,Activity_15cee8u,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5308044.83,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,5308090.626,5308223.966,133.34,F1_Offload_Container.bpmn;answer_area_for_questionID_1,5308094.791,F1_Offload_Container.bpmn,answer_area_for_questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;answer_area_for_questionID_1,5308228.133,F1_Offload_Container.bpmn,answer_area_for_questionID_1,1.0
KP1-no,5308315.595,5308390.5865,74.9915,F1_Offload_Container.bpmn;title-for-questionID_1,5308319.76,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5308394.753,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5308453.089,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5308528.153,F1_Offload_Container.bpmn,,1.0
KP1-no,5308540.571,5308757.21,216.639,F1_Offload_Container.bpmn;nan,5308544.736,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5308761.375,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Gateway_101avtr,5308828.08,F1_Offload_Container.bpmn,Gateway_101avtr,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5308903.031,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,5308940.5215,5309107.186,166.6645,F1_Offload_Container.bpmn;Process_1jt1th5,5308944.685,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5309111.369,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_1o3kg97,5309252.994,F1_Offload_Container.bpmn,DataObjectReference_1o3kg97,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_1o3kg97,5309336.324,F1_Offload_Container.bpmn,DataObjectReference_1o3kg97,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5309952.912,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
