eye_fixation_duration,number_of_annotations,timestamp,class_path,participant_number,task_id,number_of_dependencies
375.99,9,20240115090032738,ch.unisg.app.AppApplicationTests,12,12,6.0
369.79,50,20240115095243927,ch.unisg.app.HelloController,12,12,7.0
582.45,3,20240115091444714,ch.unisg.app.AppApplication,2.0,12,17.0
446.85,6,20240115092332212,ch.unisg.app.NewExecutorController,1.0,12,67.0
520.38,13,20240115093602638,ch.unisg.app.NewTaskController,5.0,12,97.0
237.65,7,20240115090943338,ch.unisg.tapas.auctionhouse.adapter.common.clients.TapasMqttClient,37.0,36.0,87.0
227.20,10,20240115094023318,ch.unisg.tapas.auctionhouse.adapter.common.formats.AuctionJsonRepresentation,6.0,6.0,67.0
478.21,15,20240115095116902,ch.unisg.tapas.auctionhouse.adapter.common.formats.BidJsonRepresentation,12,12,22.0
288.36,12,20240115094208874,ch.unisg.tapas.auctionhouse.adapter.common.formats.DelegateTaskJsonRepresentation,12,12,18.0
303.05,2,20240115091107625,ch.unisg.tapas.auctionhouse.adapter.in.messaging.http.ExecutorAddedEventListenerHttpAdapter,4.0,4.0,18.0
722.33,12,20240115092536564,ch.unisg.tapas.auctionhouse.adapter.in.messaging.http.ExecutorRemovedEventListenerHttpAdapter,4.0,4.0,16.0
222.19,3,20240115091409008,ch.unisg.tapas.auctionhouse.adapter.in.messaging.mqtt.AuctionHouseEventMqttDispatcher,23.0,22.0,49.0
177.97,4,20240115090257250,ch.unisg.tapas.auctionhouse.adapter.in.messaging.mqtt.AuctionStartedEventListenerMqttAdapter,3.0,3.0,41.0
446.98,2,20240115090538889,ch.unisg.tapas.auctionhouse.adapter.in.messaging.mqtt.ExecutorAddedEventListenerMqttAdapter,6.0,4.0,31.0
541.53,10,20240115094843232,ch.unisg.tapas.auctionhouse.adapter.in.messaging.mqtt.PlaceBidForAuctionEventListenerMqttAdapter,12,12,31.0
478.63,12,20240115090601555,ch.unisg.tapas.auctionhouse.adapter.in.messaging.websub.AuctionStartedEventListenerWebSubAdapter,3.0,3.0,49.0
496.59,14,20240115095057208,ch.unisg.tapas.auctionhouse.adapter.in.messaging.websub.WebSubIntentVerificationListener,4.0,3.0,212
562.49,14,20240115091348876,ch.unisg.tapas.auctionhouse.adapter.in.web.LaunchAuctionWebController,18.0,15.0,43.0
534.31,7,20240115092615490,ch.unisg.tapas.auctionhouse.adapter.in.web.PlaceBidForAuctionWebController,12,12,22.0
590.93,2,20240115094215820,ch.unisg.tapas.auctionhouse.adapter.in.web.RetrieveAuctionWebController,13.0,13.0,34.0
345.21,6,20240115091432041,ch.unisg.tapas.auctionhouse.adapter.in.web.RetrieveOpenAuctionsWebController,14.0,13.0,412
335.61,5,20240115093103602,ch.unisg.tapas.auctionhouse.adapter.in.web.SubscribeToAuctionFeedDirectoryWebController,13.0,12.0,512
395.99,15,20240115091058270,ch.unisg.tapas.auctionhouse.adapter.in.web.SubscribeToAuctionFeedWebController,11.0,11.0,24.0
290.42,12,20240115091950546,ch.unisg.tapas.auctionhouse.adapter.out.messaging.http.AuctionWonEventHttpAdapter,5.0,4.0,39.0
