className,linesOfCode,methods,avgEyeFixationDuration,timestamp
ch.unisg.project1.package1.Class1,28,2,2402,20240210114054555
ch.unisg.project1.package1.Class1,36,2,2201,20240210114550241
ch.unisg.project1.package1.Class1,39,2,2201,20240210114710143
ch.unisg.project1.package1.Class2,12,1,901,20240210114710143
ch.unisg.project1.package1.Class1,39,2,2201,20240210114755718
ch.unisg.project1.package1.Class2,16,1,901,20240210114755718
ch.unisg.project1.package1.Class1,39,2,2201,20240210114820131
ch.unisg.project1.package1.Class2,19,1,901,20240210114820131
ch.unisg.project1.package1.Class1,39,2,2201,20240210115308648
ch.unisg.project1.package1.Class2,21,1,901,20240210115308648
ch.unisg.project1.package1.Class1,39,2,2201,20240210115319649
ch.unisg.project1.package1.Class2,22,1,901,20240210115319649
ch.unisg.project1.package1.Class1,39,2,2201,20240210115331644
ch.unisg.project1.package1.Class2,25,1,901,20240210115331644
ch.unisg.project1.package1.Class1,39,2,2201,20240210115355777
ch.unisg.project1.package1.Class2,25,2,901,20240210115355777
ch.unisg.project1.package1.Class3,6,1,901,20240210115355777
ch.unisg.project1.package1.Class1,39,2,2201,20240210115401123
ch.unisg.project1.package1.Class2,25,2,901,20240210115401123
ch.unisg.project1.package2.package1.Class3,9,1,901,20240210115401123
ch.unisg.project1.package1.Class1,39,2,2201,20240210115411124
ch.unisg.project1.package1.Class2,58,3,901,20240210115411124
ch.unisg.project1.package2.package1.Class3,9,1,901,20240210115411124
ch.unisg.project1.package2.package1.Class4,7,1,901,20240210115411124
ch.unisg.project1.package1.Class1,39,2,2201,20240210115421125
ch.unisg.project1.package1.Class2,71,3,901,20240210115421125
ch.unisg.project1.package2.package1.Class3,15,1,901,20240210115421125
ch.unisg.project1.package2.package1.Class4,7,1,901,20240210115421125
ch.unisg.project1.package2.package2.Class5,21,2,901,20240210115421125
ch.unisg.project1.package2.package2.Class6,8,1,901,20240210115421125
ch.unisg.project1.package1.Class1,45,2,2201,20240210115431126
ch.unisg.project1.package1.Class2,87,3,901,20240210115431126
ch.unisg.project1.package2.package1.Class3,31,1,901,20240210115431126
ch.unisg.project1.package2.package1.Class4,7,1,901,20240210115431126
ch.unisg.project1.package2.package2.Class5,41,2,901,20240210115431126
ch.unisg.project1.package2.package2.Class6,12,1,901,20240210115431126
ch.unisg.project1.package1.Class1,45,2,2201,20240210115831127
ch.unisg.project1.package1.Class2,215,6,901,20240210115831127
ch.unisg.project1.package1.Class7,12,1,901,20240210115831127
ch.unisg.project1.package2.package1.Class3,31,1,901,20240210115831127
ch.unisg.project1.package2.package1.Class4,7,1,901,20240210115831127
ch.unisg.project1.package2.package2.Class5,41,2,901,20240210115831127
ch.unisg.project1.package2.package2.Class6,12,1,901,20240210115831127
