className,linesOfCode,avgEyeFixationDuration,timestamp
ch.unisg.project1.package1.Class1,28,2402,20240210114054555
ch.unisg.project1.package1.Class2,10,800,20240210114054555
ch.unisg.project1.package1.Class3,57,4120,20240210114054555
ch.unisg.project1.package1.Class4,120,8120,20240210114054555
ch.unisg.project1.package1.Class5,42,3011,20240210114054555
ch.unisg.project1.package2.Class1,31,2402,20240210114054555
ch.unisg.project1.package2.Class2,92,146,20240210114054555
ch.unisg.project1.package2.Class3,75,7323,20240210114054555
ch.unisg.project1.package2.Class4,123,416,20240210114054555
ch.unisg.project1.package2.Class5,39,822,20240210114054555
ch.unisg.project1.package2.Class6,227,1468,20240210114054555
ch.unisg.project1.package2.Class7,210,6817,20240210114054555
ch.unisg.project1.package1.Class1,28,2402,20240211142024666
ch.unisg.project1.package1.Class2,10,800,20240211142024666
ch.unisg.project1.package1.Class3,57,4120,20240211142024666
ch.unisg.project1.package1.Class4,120,8120,20240211142024666
ch.unisg.project1.package1.Class5,42,3011,20240211142024666
ch.unisg.project1.package1.Class6,209,1587,20240211142024666
ch.unisg.project1.package2.Class1,31,2402,20240211142024666
ch.unisg.project1.package2.Class2,310,146,20240211142024666
ch.unisg.project1.package2.Class3,75,7323,20240211142024666
ch.unisg.project1.package2.Class4,123,416,20240211142024666
ch.unisg.project1.package2.Class5,39,822,20240211142024666
ch.unisg.project1.package2.Class6,227,1468,20240211142024666
ch.unisg.project1.package2.Class7,210,6817,20240211142024666
