className,linesOfCode,linesOfComments,avgEyeFixationDuration,timestamp
ch.unisg.testproject1.testpackage2.TEST5,3,5,80,20240101105820540
ch.unisg.testproject1.testpackage2.TEST10,3,5,20,20240101105820740
ch.unisg.testproject1.testpackage2.TEST16,3,5,10,20240101105820840
ch.unisg.testproject1.testpackage2.TEST24,2,0,2,20240101105820260
ch.unisg.testproject1.testpackage1.TEST25,2,0,8,20240101105821340
ch.unisg.testproject1.testpackage1.TEST5,3,5,80,20240101105821440
ch.unisg.testproject1.testpackage1.TEST10,3,5,20,20240101105822240
ch.unisg.testproject1.testpackage1.TEST16,3,5,10,20240101105822240
ch.test.testproject1.testpackage1.TEST24,2,0,2,20240101105820320
ch.test.testproject1.testpackage1.TEST25,2,0,8,20240101105820320
ch.test.testproject1.testpackage1.GUESS,2,0,8,20240101105821240
ch.unisg.testproject1.testpackage2.TEST51,3,5,80,20240101105820140
ch.unisg.testproject1.testpackage2.TEST101,3,5,20,20240101105820240
ch.unisg.testproject1.testpackage2.TEST161,3,5,10,20240101105820240
ch.unisg.testproject1.testpackage2.TEST241,2,0,2,20240101105820240
ch.unisg.testproject1.testpackage1.TEST251,2,0,8,20240101105820240
ch.unisg.testproject1.testpackage1.TEST51,3,5,80,20240101105822240
ch.unisg.testproject1.testpackage1.TEST110,3,5,20,20240101105821640
ch.unisg.testproject1.testpackage1.TEST116,3,5,10,20240101105821640
ch.test.testproject1.testpackage1.TEST241,2,0,2,20240101105822940
ch.test.testproject1.testpackage1.TEST251,2,0,8,20240101105822940
ch.test.testproject1.testpackage1.GUESS1,2,0,8,20240101105821240
ch.red,6,0,20,20240101105820240
ch.red,6,0,20,20240101105820640
ch.red,6,0,20,20240101105820840
ch.red,6,0,20,20240101105821040
ch.red,6,0,20,20240101105821240
ch.red,6,0,20,20240101105821440
ch.red,6,0,20,20240101105821640
